Unemployment Rate (Seasonally Adjusted),United States,Arizona,Phoenix-Mesa-Glendale MSA (Maricopa + Pinal Co.),Tucson MSA (Pima Co.)
 June 1999 ,,,3.108629,2.776268
 July 1999 ,,,3.041066,3.608514
 August 1999 ,,,2.930926,3.235266
 September 1999 ,,,2.966964,3.267238
 October 1999 ,,,3.029771,3.497081
 November 1999 ,,,3.03579,3.559403
 December 1999 ,,,2.922081,3.540484
 January 2000 ,,,3.347228,3.868875
 February 2000 ,,,3.31623,3.755252
 March 2000 ,,,3.313123,3.696396
 April 2000 ,,,3.185834,3.622497
 May 2000 ,,,3.343336,3.798444
 June 2000 ,,,3.339398,3.754064
 July 2000 ,,,3.429364,3.795759
 August 2000 ,,,3.509435,3.849773
 September 2000 ,,,3.201175,3.5898
 October 2000 ,,,3.159692,3.514041
 November 2000 ,,,3.135176,3.470447
 December 2000 ,,,3.159848,3.563612
 January 2001 ,,,3.37584,3.857503
 February 2001 ,,,3.318805,3.715862
 March 2001 ,,,3.562041,3.899785
 April 2001 ,,,3.664999,3.935389
 May 2001 ,,,3.813224,3.962843
 June 2001 ,,,4.089947,4.188529
 July 2001 ,,,4.201621,4.290017
 August 2001 ,,,4.652818,4.595682
 September 2001 ,,,4.818007,4.793233
 October 2001 ,,,4.942396,4.940529
 November 2001 ,,,5.237256,5.161379
 December 2001 ,,,5.422481,5.316956
 January 2002 ,,,5.427728,5.392651
 February 2002 ,,,5.504131,5.506864
 March 2002 ,,,5.540864,5.606032
 April 2002 ,,,5.866292,5.908513
 May 2002 ,,,5.851602,5.892971
 June 2002 ,,,5.695702,5.782759
 July 2002 ,,,5.722712,5.763432
 August 2002 ,,,5.70675,5.78382
 September 2002 ,,,5.61235,5.60636
 October 2002 ,,,5.73269,5.671053
 November 2002 ,,,5.76331,5.78737
 December 2002 ,,,5.741784,5.786746
 January 2003 ,,6,5.469511,5.451186
 February 2003 ,,5.9,5.486182,5.435176
 March 2003 ,,5.9,5.31213,5.405103
 April 2003 ,,5.9,5.419646,5.384624
 May 2003 ,,5.9,5.443448,5.481015
 June 2003 ,,5.8,5.404943,5.559805
 July 2003 ,,5.8,5.31521,5.420035
 August 2003 ,,5.8,5.279941,5.346653
 September 2003 ,,5.7,5.214389,5.216742
 October 2003 ,,5.6,5.081094,5.16668
 November 2003 ,,5.5,4.924938,5.012514
 December 2003 ,,5.4,4.868108,4.963143
 January 2004 ,,5.3,4.839224,4.967054
 February 2004 ,,5.3,4.726029,4.72995
 March 2004 ,,5.3,4.771564,4.971428
 April 2004 ,,5.2,4.716507,4.912652
 May 2004 ,,5.2,4.611913,4.828761
 June 2004 ,,5.1,4.599478,4.753393
 July 2004 ,,5,4.48659,4.702895
 August 2004 ,,4.9,4.379886,4.535473
 September 2004 ,,4.8,4.273693,4.497355
 October 2004 ,,4.8,4.298205,4.510454
 November 2004 ,,4.8,4.237068,4.403047
 December 2004 ,,4.8,4.2089,4.450712
 January 2005 ,5.3,4.8,4.254527,4.497501
 February 2005 ,5.4,4.8,4.311125,4.574457
 March 2005 ,5.2,4.8,4.278668,4.555586
 April 2005 ,5.2,4.8,4.207201,4.52693
 May 2005 ,5.1,4.7,4.119835,4.44453
 June 2005 ,5,4.7,4.044117,4.437301
 July 2005 ,5,4.6,4.034761,4.41045
 August 2005 ,4.9,4.6,4.04491,4.449872
 September 2005 ,5,4.6,4.107274,4.504135
 October 2005 ,5,4.6,4.036146,4.444371
 November 2005 ,5,4.5,4.041962,4.492718
 December 2005 ,4.9,4.5,3.899175,4.334448
 January 2006 ,4.7,4.5,3.883189,4.280299
 February 2006 ,4.8,4.4,3.920919,4.286261
 March 2006 ,4.7,4.4,3.775435,4.183057
 April 2006 ,4.7,4.4,3.795054,4.194697
 May 2006 ,4.6,4.3,3.614785,4.038824
 June 2006 ,4.6,4.3,3.729464,4.165
 July 2006 ,4.7,4.2,3.721184,4.144447
 August 2006 ,4.7,4.2,3.616728,4.044914
 September 2006 ,4.5,4.1,3.590943,4.02
 October 2006 ,4.4,4,3.444202,3.820421
 November 2006 ,4.5,4,3.402524,3.772145
 December 2006 ,4.4,3.9,3.35254,3.702165
 January 2007 ,4.6,3.9,3.48941,3.845219
 February 2007 ,4.5,3.8,3.295801,3.624423
 March 2007 ,4.4,3.8,3.219324,3.555117
 April 2007 ,4.5,3.7,3.1796,3.531067
 May 2007 ,4.4,3.7,2.970907,3.259873
 June 2007 ,4.6,3.6,3.157351,3.481716
 July 2007 ,4.7,3.6,3.183729,3.548828
 August 2007 ,4.6,3.7,3.188419,3.589776
 September 2007 ,4.7,3.8,3.257644,3.640588
 October 2007 ,4.7,3.9,3.43634,3.853928
 November 2007 ,4.7,4.1,3.615938,4.010566
 December 2007 ,5,4.3,3.913349,4.335566
 January 2008 ,5,4.5,4.030356,4.562536
 February 2008 ,4.9,4.7,3.994615,4.487352
 March 2008 ,5.1,5,4.324381,4.762267
 April 2008 ,5,5.3,4.39476,4.849505
 May 2008 ,5.4,5.6,4.917818,5.362648
 June 2008 ,5.6,5.9,5.285621,5.652436
 July 2008 ,5.8,6.3,5.64022,5.861387
 August 2008 ,6.1,6.6,6.033804,6.282569
 September 2008 ,6.1,6.9,6.286151,6.509403
 October 2008 ,6.5,7.3,6.54673,6.739114
 November 2008 ,6.8,7.6,6.903797,6.984743
 December 2008 ,7.3,8,7.529535,7.610575
 January 2009 ,7.8,8.4,7.688449,7.581065
 February 2009 ,8.3,8.8,8.163237,8.069621
 March 2009 ,8.7,9.1,8.587135,8.451044
 April 2009 ,9,9.4,8.77829,8.595812
 May 2009 ,9.4,9.7,9.140236,8.90756
 June 2009 ,9.5,9.9,9.188406,8.936133
 July 2009 ,9.5,10.2,9.418109,9.072661
 August 2009 ,9.6,10.4,9.686016,9.33843
 September 2009 ,9.8,10.6,10.011297,9.672375
 October 2009 ,10,10.8,10.29821,9.961195
 November 2009 ,9.9,10.9,10.34127,10.003669
 December 2009 ,9.9,10.9,10.332006,10.013211
 January 2010 ,9.8,10.9,10.135228,9.927507
 February 2010 ,9.8,10.8,10.186847,9.843673
 March 2010 ,9.9,10.7,10.050234,9.740665
 April 2010 ,9.9,10.6,9.942501,9.659474
 May 2010 ,9.6,10.4,9.731609,9.427932
 June 2010 ,9.4,10.3,9.319539,9.001632
 July 2010 ,9.4,10.2,9.419569,9.083596
 August 2010 ,9.5,10.2,9.343419,9.02604
 September 2010 ,9.5,10.1,9.316384,9.03548
 October 2010 ,9.4,10.1,9.180398,8.922911
 November 2010 ,9.8,10,9.533033,9.279597
 December 2010 ,9.3,9.9,9.184684,8.960115
 January 2011 ,9.1,9.8,9.006814,8.822879
 February 2011 ,9,9.7,8.949411,8.754842
 March 2011 ,9,9.7,8.828591,8.609109
 April 2011 ,9.1,9.7,8.863003,8.632586
 May 2011 ,9,9.7,8.528744,8.301714
 June 2011 ,9.1,9.7,9.205825,9.04571
 July 2011 ,9,9.7,8.91664,8.70118
 August 2011 ,9,9.6,8.562201,8.376951
 September 2011 ,9,9.4,8.463301,8.330285
 October 2011 ,8.8,9.2,8.313255,8.16825
 November 2011 ,8.6,9,8.042228,7.927889
 December 2011 ,8.5,8.8,7.987468,7.944712
 January 2012 ,8.3,8.7,7.8049,7.73441
 February 2012 ,8.3,8.7,7.799177,7.791843
 March 2012 ,8.2,8.6,7.634398,7.64417
 April 2012 ,8.2,8.6,7.570142,7.545543
 May 2012 ,8.2,8.5,7.609325,7.567423
 June 2012 ,8.2,8.5,7.505806,7.484178
 July 2012 ,8.2,8.3,7.569227,7.501266
 August 2012 ,8.1,8.2,7.272419,7.289924
 September 2012 ,7.8,8.1,6.946177,6.985894
 October 2012 ,7.8,8,6.926941,6.959229
 November 2012 ,7.7,7.9,6.875019,6.902939
 December 2012 ,7.9,7.9,6.978236,7.000487
 January 2013 ,8,7.9,7.019528,7.082652
 February 2013 ,7.7,7.9,6.779993,6.813259
 March 2013 ,7.5,7.9,6.835794,6.86938
 April 2013 ,7.6,7.9,6.780929,6.789326
 May 2013 ,7.5,7.8,6.743959,6.777241
 June 2013 ,7.5,7.8,6.822875,6.963882
 July 2013 ,7.3,7.8,6.61525,6.650645
 August 2013 ,7.2,7.7,6.686599,6.78886
 September 2013 ,7.2,7.7,6.649988,6.712757
 October 2013 ,7.2,7.6,6.61873,6.72067
 November 2013 ,6.9,7.5,6.375952,6.515856
 December 2013 ,6.7,7.4,6.292205,6.392345
 January 2014 ,6.6,7.3,6.090969,6.161147
 February 2014 ,6.7,7.1,6.187666,6.25089
 March 2014 ,6.7,7,6.246097,6.396554
 April 2014 ,6.2,6.9,5.692386,5.790701
 May 2014 ,6.3,6.9,5.988432,6.116578
 June 2014 ,6.1,6.8,5.868109,6.007964
 July 2014 ,6.2,6.7,5.923119,6.037142
 August 2014 ,6.1,6.7,5.863048,6.050367
 September 2014 ,5.9,6.6,5.798745,5.949164
 October 2014 ,5.7,6.6,5.723397,5.883808
 November 2014 ,5.8,6.5,5.778182,6.034319
 December 2014 ,5.6,6.5,5.578045,5.774239
 January 2015 ,5.7,6.4,5.57407,5.716862
 February 2015 ,5.5,6.3,5.422844,5.573906
 March 2015 ,5.4,6.3,5.332936,5.498988
 April 2015 ,5.4,6.2,5.25365,5.519292
 May 2015 ,5.6,6.1,5.285034,5.592772
 June 2015 ,5.3,6.1,5.191926,5.529799
 July 2015 ,5.2,6,5.189635,5.511232
 August 2015 ,5.1,6,5.114975,5.39574
 September 2015 ,5,5.9,5.092319,5.372812
 October 2015 ,5,5.9,5.101082,5.420472
 November 2015 ,5.1,5.8,5.064589,5.408246
 December 2015 ,5,5.7,4.91904,5.224701
 January 2016 ,4.9,5.6,4.669229,4.997913
 February 2016 ,4.9,5.5,4.735024,5.030783
 March 2016 ,5,5.5,4.796375,5.106275
 April 2016 ,5,5.5,4.818736,5.136439
 May 2016 ,4.8,5.4,4.649275,4.932537
 June 2016 ,4.9,5.4,4.674454,4.981591
 July 2016 ,4.8,5.4,4.643824,4.981451
 August 2016 ,4.9,5.3,4.556512,4.883718
 September 2016 ,5,5.3,4.653627,5.032888
 October 2016 ,4.9,5.2,4.597323,4.877615
 November 2016 ,4.7,5.2,4.443806,4.714743
 December 2016 ,4.7,5.2,4.413026,4.683676
 January 2017 ,4.7,5.1,4.428784,4.722486
 February 2017 ,4.6,5.1,4.53981,4.750307
 March 2017 ,4.4,5,4.364898,4.639738
 April 2017 ,4.4,5,4.2859,4.548338
 May 2017 ,4.4,4.9,4.301738,4.55213
 June 2017 ,4.3,4.8,4.158919,4.379125
 July 2017 ,4.3,4.8,4.151655,4.371843
 August 2017 ,4.4,4.7,4.176397,4.404449
 September 2017 ,4.2,4.7,4.102081,4.343317
 October 2017 ,4.1,4.7,4.055365,4.288748
 November 2017 ,4.2,4.7,4.131492,4.39131
 December 2017 ,4.1,4.8,4.144807,4.388605
 January 2018 ,4.1,4.8,4.147666,4.430073
 February 2018 ,4.1,4.8,4.272482,4.500196
 March 2018 ,4,4.7,4.095991,4.342339
 April 2018 ,4,4.7,4.117859,4.351912
 May 2018 ,3.8,4.7,3.982114,4.19512
 June 2018 ,4,4.7,4.124209,4.333133
 July 2018 ,3.8,4.7,4.056246,4.276086
 August 2018 ,3.8,4.7,4.128346,4.348079
 September 2018 ,3.7,4.7,4.068235,4.309526
 October 2018 ,3.8,4.8,4.133447,4.368444
 November 2018 ,3.7,4.8,4.152411,4.420396
 December 2018 ,3.9,4.8,4.323774,4.592606
 January 2019 ,4,4.9,4.303602,4.674441
 February 2019 ,3.8,4.9,4.259633,4.512428
 March 2019 ,3.8,4.8,4.193033,4.49088
 April 2019 ,3.6,4.8,4.148726,4.450092
 May 2019 ,3.6,4.8,4.230998,4.546995
 June 2019 ,3.7,4.8,4.169465,4.479767
 July 2019 ,3.7,4.7,4.160632,4.512199
 August 2019 ,3.7,4.6,4.054895,4.420638
 September 2019 ,3.5,4.6,3.836389,4.221613
 October 2019 ,3.6,4.5,3.967434,4.354376
 November 2019 ,3.5,4.5,3.898903,4.260851
 December 2019 ,3.5,4.5,3.801682,4.193186
 January 2020 ,3.6,4.5,3.813965,4.273564
 February 2020 ,3.5,4.5,3.879569,4.243592
 March 2020 ,4.4,5.5,4.680756,5.198041
 April 2020 ,14.7,,,
